# OUI vendor lookup table - generated by scripts/update_oui.ps1
# Source: https://www.wireshark.org/download/automated/data/manuf
# Format: <6-hex-lowercase-prefix><TAB><Vendor Name>
# 24-bit MA-L entries only.

000000	00:00:00
00005e	ICANNIANADep
00005f	SumitomoElec
000060	KontronEurop
000061	GatewayCommu
000062	BullHnInform
000063	BarcoControl
000064	YokogawaDigi
000065	NetworkGener
000066	Talaris
000067	Soft*Rite
000068	RosemountCon
000069	ConcordCommu
00006a	ComputerCons
00006b	SiliconGraph
00006c	SchneiderEle
00006d	CrayCommunic
00006e	Artisoft
00006f	Madge
000070	Hcl
000071	Adra
000072	MiniwareTech
000073	Siecor
000074	Ricoh
000075	NortelNetwor
000076	AbekasVideoS
000077	Interphase
000078	Labtam
000079	Networth
00007a	DanaComputer
00007b	ResearchMach
00007c	Ampere
00007d	Oracle
00007e	Clustrix
00007f	LinotypeHell
000080	CrayCommunic
000081	BayNetworks
000082	LectraSystem
000083	TadpoleTechn
000084	Supernet
000085	Canon
000086	Megahertz
000087	Hitachi
000088	BrocadeCommu
000089	Cayman
00008a	DatahouseInf
00008b	Infotron
00008c	AlloyCompute
00008d	Cryptek
00008e	SolbourneCom
00008f	Raytheon
000090	Microcom
000091	Anritsu
000092	CogentDataTe
000093	Proteon
000094	AsanteTechno
000095	SonyTektroni
000096	MarconiElect
000097	DellEMC
000098	Crosscomm
000099	Mtx
00009a	RcComputer
00009b	InformationI
00009c	RolmMilSpecC
00009d	LocusComputi
00009e	Marli
00009f	AmeristarTec
0000a0	SANYOElectri
0000a1	MarquetteEle
0000a2	BayNetworks
0000a3	NetworkAppli
0000a4	AcornCompute
0000a5	Tattile
0000a6	NetworkGener
0000a7	NetworkCompu
0000a8	StratusTechn
0000a9	Network
0000aa	Xerox
0000ab	LogicModelin
0000ac	ConwareCompu
0000ad	BrukerInstru
0000ae	DassaultElec
0000af	CanberraIndu
0000b0	RndRadNetwor
0000b1	AlphaMicro
0000b2	Televideo
0000b3	Cimlinc
0000b4	EdimaxTechno
0000b5	DatabilitySo
0000b6	MicroMaticRe
0000b7	DoveComputer
0000b8	Seikosha
0000b9	McdonnellDou
0000ba	Siig
0000bb	TriData
0000bc	RockwellAuto
0000bd	RYOSEI
0000be	NtiGroup
0000bf	SymmetricCom
0000c0	WesternDigit
0000c1	Madge
0000c2	InformationP
0000c3	Harris
0000c4	WatersDivMil
0000c5	Commscope
0000c6	Eon
0000c7	Arix
0000c8	AltosCompute
0000c9	Emulex
0000ca	Commscope
0000cb	CompuShackEl
0000cc	Densan
0000cd	AlliedTelesi
0000ce	Megadata
0000cf	HayesMicroco
0000d0	DevelconElec
0000d1	Adaptec
0000d2	Sbe
0000d3	WangLaborato
0000d4	PureData
0000d5	MicrognosisI
0000d6	PunchLine
0000d7	DartmouthCol
0000d8	Novell
0000d9	NipponTelegr
0000da	Atex
0000db	BritishTelec
0000dc	HayesMicroco
0000dd	Tcl
0000de	Cetia
0000df	BellHowellPu
0000e0	Quadram
0000e1	Grid
0000e2	AcerTechnolo
0000e3	IntegratedMi
0000e4	In2GroupeInt
0000e5	Sigmex
0000e6	AptorProduit
0000e7	StarGateTech
0000e8	AcctonTechno
0000e9	Isicad
0000ea	Upnod
0000eb	MatsushitaCo
0000ec	Microprocess
0000ed	April
0000ee	NetworkDesig
0000ef	Kti
0000f0	SamsungElect
0000f1	MagnaCompute
0000f2	SpiderCommun
0000f3	GandalfData
0000f4	AlliedTelesi
0000f5	DiamondSales
0000f6	AppliedMicro
0000f7	YouthKeepEnt
0000f8	DigitalEquip
0000f9	Quotron
0000fa	MicrosageCom
0000fb	RechnerZurKo
0000fc	Meiko
0000fd	HighLevelHar
0000fe	AnnapolisMic
0000ff	CamtecElectr
000100	EquipTrans
000101	Private
000102	3Com
000103	3Com
000104	DVICO
000105	BeckhoffAuto
000106	TewsDatentec
000107	Leiser
000108	AVLABTechnol
000109	NaganoJapanR
00010a	CisTechnolog
00010b	SpaceCyberLi
00010c	SystemTalks
00010d	TeledyneDALS
00010e	BriLinkTechn
00010f	BrocadeCommu
000110	GothamNetwor
000111	iDigm
000112	SharkMultime
000113	Olympus
000114	KandaTsushin
000115	Extratech
000116	NetspectTech
000117	Canal
000118	EZDigital
000119	RTUnet
00011a	HoffmannundB
00011b	UnizoneTechn
00011c	UniversalTal
00011d	CentilliumCo
00011e	PrecidiaTech
00011f	RCNetworks
000120	Oscilloquart
000121	WatchGuardTe
000122	TrendCommuni
000123	SchneiderEle
000124	Acer
000125	YaesuMusen
000126	PACLabs
000127	OPENNetworks
000128	EnjoyWeb
000129	DFI
00012a	TelematicaSi
00012b	TELENET
00012c	AravoxTechno
00012d	KomodoTechno
00012e	PCPartner
00012f	TwinheadInte
000130	ExtremeNetwo
000131	BoschSecurit
000132	DranetzBMI
000133	KYOWAElectro
000134	Selectron
000135	KDC
000136	CyberTANTech
000137	ITFarm
000138	XAViTechnolo
000139	PointMultime
00013a	ShelcadCommu
00013b	Bna
00013c	Tiw
00013d	RiscStation
00013e	AscomTateco
00013f	NeighborWorl
000140	Sendtek
000141	CablePrint
000142	Cisco
000143	Cisco
000144	DellEMC
000145	Winsystems
000146	TescoControl
000147	ZhoneTechnol
000148	XtraWeb
000149	Tdt
00014a	Sony
00014b	EnnovateNetw
00014c	BerkeleyProc
00014d	ShinKinEnter
00014e	WINEnterpris
00014f	Adtran
000150	GilatCommuni
000151	EnsembleComm
000152	Chromatek
000153	ArchtekTelec
000154	G3M
000155	PromiseTechn
000156	Firewiredire
000157	Syswave
000158	ElectroIndus
000159	S1
00015a	DigitalVideo
00015b	ITALTELRFUPI
00015c	Cadant
00015d	Oracle
00015e	BestTechnolo
00015f	DIGITALDESIG
000160	ELMEX
000161	MetaMachineT
000162	CygnetTechno
000163	Cisco
000164	Cisco
000165	AirSwitch
000166	TcGroup
000167	HiokiEE
000168	Vitana
000169	CelestixNetw
00016a	Alitec
00016b	LightChip
00016c	Foxconn
00016d	CarrierComm
00016e	Conklin
00016f	Inkel
000170	ESEEmbeddedS
000171	AlliedDataTe
000172	TechnoLand
000173	Amcc
000174	CyberOptics
000175	RadiantCommu
000176	OrientSilver
000177	Edsl
000178	MARGI
000179	WirelessTech
00017a	MaipuElectri
00017b	Heidelberger
00017c	AGE
00017d	ThermoQuest
00017e	ADTEKSystemS
00017f	ExperienceMu
000180	AOpen
000181	NortelNetwor
000182	DicaTechnolo
000183	AniteTelecom
000184	SiebMeyer
000185	HitachiAloka
000186	UweDisch
000187	I2SE
000188	LXCOTechnolo
000189	RefractionTe
00018a	RoiComputer
00018b	NetLinks
00018c	MegaVision
00018d	AudeSiTechno
00018e	Logitec
00018f	Kenetec
000190	SmkM
000191	SYREDData
000192	TexasDigital
000193	HanbyulTelec
000194	CapitalEquip
000195	SenaTechnolo
000196	Cisco
000197	Cisco
000198	DarimVision
000199	HeiSeiElectr
00019a	LEUNIG
00019b	KyotoMicroco
00019c	Lumentum
00019d	EControl
00019e	ESSTechnolog
00019f	ReadyNet
0001a0	Infinilink
0001a1	MagTek
0001a2	Logical
0001a3	GenesysLogic
0001a4	Microlink
0001a5	Nextcomm
0001a6	ScientificAt
0001a7	UnexTechnolo
0001a8	WelltechComp
0001a9	Bmw
0001aa	AirspanCommu
0001ab	MainStreetNe
0001ac	SitaraNetwor
0001ad	CoachMasterI
0001ae	TrexEnterpri
0001af	ArtesynEmbed
0001b0	FulltekTechn
0001b1	GeneralBandw
0001b2	DigitalProce
0001b3	PrecisionEle
0001b4	Wayport
0001b5	TurinNetwork
0001b6	SAEJINT&M
0001b7	Centos
0001b8	Netsensity
0001b9	SKF
0001ba	ICNet
0001bb	Frequentis
0001bc	Brains
0001bd	PetersonElec
0001be	Gigalink
0001bf	Teleforce
0001c0	CompuLab
0001c1	VitesseSemic
0001c2	ARKResearch
0001c3	Acromag
0001c4	NeoWave
0001c5	SimplerNetwo
0001c6	QuarryTechno
0001c7	Cisco
0001c8	ThomasConrad
0001c9	Cisco
0001ca	GeocastNetwo
0001cb	Evr
0001cc	BrandMakerEn
0001cd	ARtem
0001ce	CustomMicroP
0001cf	AlphaDataPar
0001d0	VitalPoint
0001d1	CoNetCommuni
0001d2	inXtron
0001d3	PAXCOMM
0001d4	LeisureTime
0001d5	HaedongInfoC
0001d6	manroland
0001d7	F5
0001d8	Teltronics
0001d9	Sigma
0001da	WINCOMM
0001db	FreecomTechn
0001dc	Activetelco
0001dd	AvailNetwork
0001de	Trango
0001df	ISDNCommunic
0001e0	Fast
0001e1	KinpoElectro
0001e2	AndoElectric
0001e3	Siemens
0001e4	Sitera
0001e5	Supernet
0001e6	HewlettPacka
0001e7	HewlettPacka
0001e8	Force10Netwo
0001e9	LittonMarine
0001ea	Cirilium
0001eb	CCOM
0001ec	EricssonGrou
0001ed	SETA
0001ee	ComtrolEurop
0001ef	CamtelTechno
0001f0	Tridium
0001f1	InnovativeCo
0001f2	MarkUnicorn
0001f3	QPS
0001f4	Enterasys
0001f5	Erim
0001f6	AssociationM
0001f7	ImageDisplay
0001f8	TexioTechnol
0001f9	TeraGlobalCo
0001fa	Horoscas
0001fb	DoTopTechnol
0001fc	Keyence
0001fd	DigitalVoice
0001fe	DigitalEquip
0001ff	DataDirectNe
000200	NetSys
000201	IFMElectroni
000202	AminoCommuni
000203	WoonsangTele
000204	BodmannIndus
000205	HitachiDensh
000206	TelitalR&DDe
000207	VisionGlobal
000208	UnifyNetwork
000209	SEDInformati
00020a	Gefran
00020b	NativeNetwor
00020c	MetroOptix
00020d	Micronpccom
00020e	ECITelecom
00020f	Aatr
000210	Fenecom
000211	NatureWorldw
000212	SierraCom
000213	SDEL
000214	Dtvro
000215	CotasCompute
000216	Cisco
000217	Cisco
000218	AdvancedScie
000219	ParalonTechn
00021a	ZumaNetworks
00021b	KollmorgenSe
00021c	NetworkEleme
00021d	DataGeneralC
00021e	Simtel
00021f	Aculab
000220	CanonFinetec
000221	DSPApplicati
000222	Chromisys
000223	ClickTV
000224	CCor
000225	OneStop
000226	XESystems
000227	ESDElectroni
000228	Necsom
000229	Adtec
00022a	AsoundElectr
00022b	SAXA
00022c	ABBBomem
00022d	Agere
00022e	TEACR&D
00022f	PCube
000230	IntersoftEle
000231	IngersollRan
000232	Avision
000233	MantraCommun
000234	ImperialTech
000235	ParagonNetwo
000236	INIT
000237	CosmoResearc
000238	SeromeTechno
000239	Visicom
00023a	ZSKStickmasc
00023b	Ericsson
00023c	CreativeTech
00023d	Cisco
00023e	SeltaTelemat
00023f	CompalElectr
000240	Seedek
000241	Amercom
000242	Videoframe
000243	Raysis
000244	SURECOMTechn
000245	Lampus
000246	AllWinTech
000247	GreatDragonI
000248	Pilz
000249	AvivInfocom
00024a	Cisco
00024b	Cisco
00024c	SiByte
00024d	MannesmanDem
00024e	DatacardGrou
00024f	IPMDatacom
000250	GeyserNetwor
000251	SomaNetworks
000252	Carrier
000253	Televideo
000254	WorldGate
000255	IBM
000256	AlphaProcess
000257	Microcom
000258	FlyingPacket
000259	TsannKuenChi
00025a	CatenaNetwor
00025b	CambridgeSil
00025c	SCI
00025d	CalixNetwork
00025e	HighTechnolo
00025f	NortelNetwor
000260	AccordionNet
000261	Tilgin
000262	SoyoGroupSoy
000263	RPS
000264	AudioRampcom
000265	Virditech
000266	Thermalogic
000267	NodeRunner
000268	HarrisGovern
000269	Nadatel
00026a	CocessTeleco
00026b	BCMComputers
00026c	PhilipsCFT
00026d	AdeptTelecom
00026e	NeGeNAccess
00026f	SenaoInterna
000270	Crewave
000271	ZhoneTechnol
000272	CC&CTechnolo
000273	CoriolisNetw
000274	TommyTechnol
000275	SMARTTechnol
000276	PrimaxElectr
000277	CashSystemes
000278	SamsungElect
000279	ControlAppli
00027a	IOITechnolog
00027b	AmplifyNet
00027c	Trilithic
00027d	Cisco
00027e	Cisco
00027f	asktechnolog
000280	MuNet
000281	Madge
000282	ViaClix
000283	SpectrumCont
000284	UKGridSoluti
000285	RiverstoneNe
000286	OccamNetwork
000287	Adapcom
000288	GlobalVillag
000289	DNETechnolog
00028a	AmbitMicrosy
00028b	VDSL
00028c	MicrelSynerg
00028d	MovitaTechno
00028e	Rapid5Networ
00028f	Globetek
000290	Woorigisool
000291	OpenNetwork
000292	LogicInnovat
000293	SolidData
000294	TokyoSokushi
000295	MavenirIpaUk
000296	Lectron
000297	CCORnet
000298	Broadframe
000299	Apex
00029a	StorageApps
00029b	KreatelCommu
00029c	3Com
00029d	Merix
00029e	InformationE
00029f	L3Communicat
0002a0	Flatstack
0002a1	WorldWidePac
0002a2	Hilscher
0002a3	HitachiEnerg
0002a4	AddPacTechno
0002a5	HewlettPacka
0002a6	Effinet
0002a7	VivaceNetwor
0002a8	AirLinkTechn
0002a9	RACOMsro
0002aa	PLcom
0002ab	CTCUnionTech
0002ac	3PARdata
0002ad	HOYA
0002ae	ScannexElect
0002af	TeleCruzTech
0002b0	HokubuCommun
0002b1	Anritsu
0002b2	Cablevision
0002b3	Intel
0002b4	Daphne
0002b5	Avnet
0002b6	AcrosserTech
0002b7	WatanabeElec
0002b8	WhiKonsult
0002b9	Cisco
0002ba	Cisco
0002bb	ContinuousCo
0002bc	LVL7
0002bd	Bionet
0002be	TotsuEnginee
0002bf	dotRocket
0002c0	BencentTzeng
0002c1	InnovativeEl
0002c2	NetVisionTel
0002c3	Arelnet
0002c4	OPTMachineVi
0002c5	EvertzMicros
0002c6	DataTrackTec
0002c7	Alpsalpine
0002c8	TechnocomCom
0002c9	MellanoxTech
0002ca	EndPoints
0002cb	TriState
0002cc	MCCI
0002cd	TeleDream
0002ce	FoxJet
0002cf	ZyGateCommun
0002d0	Comdial
0002d1	Vivotek
0002d2	Workstation
0002d3	NetBotz
0002d4	PDAPeriphera
0002d5	Acr
0002d6	NICE
0002d7	EMPEG
0002d8	BRECISCommun
0002d9	ReliableCont
0002da	ExiOCommunic
0002db	Netsec
0002dc	GENERAL
0002dd	BromaxCommun
0002de	Astrodesign
0002df	NetCom
0002e0	ETAS
0002e1	IntegratedNe
0002e2	NDCInfaredEn
0002e3	LITEONCommun
0002e4	JCHYUN
0002e5	Timeware
0002e6	GouldInstrum
0002e7	CAB
0002e8	ED&A
0002e9	CSSystemesDe
0002ea	FocusEnhance
0002eb	PicoCommunic
0002ec	MaschoffDesi
0002ed	DXOTelecom
0002ee	NokiaDanmark
0002ef	CCCNetworkGr
0002f0	AMEOptimedia
0002f1	Pinetron
0002f2	eDevice
0002f3	MediaServe
0002f4	PCTEL
0002f5	VIVESynergie
0002f6	EquipeCommun
0002f7	Arm
0002f8	SEAKREnginee
0002f9	MIMOSBerhad
0002fa	DXAntenna
0002fb	BaumullerAul
0002fc	Cisco
0002fd	Cisco
0002fe	Viditec
0002ff	HandanBroadI
000300	BarracudaNet
000301	Exfo
000302	CharlesIndus
000303	JAMAElectron
000304	PacificBroad
000305	MSCVertriebs
000306	FusionInTech
000307	SecureWorks
000308	AMCommunicat
000309	TexcelTechno
00030a	ArgusTechnol
00030b	HunterTechno
00030c	TelesoftTech
00030d	UniwillCompu
00030e	CoreCommunic
00030f	DigitalChina
000310	EGlobaledge
000311	MicroTechnol
000312	TRsystems
000313	AccessMedia
000314	TelewareNetw
000315	Cidco
000316	NobellCommun
000317	Merlin
000318	Cyras
000319	Infineon
00031a	BroadTelecom
00031b	Cellvision
00031c	SvenskaHardv
00031d	TaiwanCommat
00031e	Optranet
00031f	Condev
000320	Xpeed
000321	RecoResearch
000322	IDIS
000323	CornetTechno
000324	LIMNO
000325	ArimaCompute
000326	IwasakiInfor
000327	HMSIndustria
000328	MaceGroup
000329	F3
00032a	UniDataCommu
00032b	GAIDatenfunk
00032c	ABBSwitzerla
00032d	IBASETechnol
00032e	ScopeInforma
00032f	GlobalSunTec
000330	Imagenics
000331	Cisco
000332	Cisco
000333	Digitel
000334	OmegaEnginee
000335	MiraeTechnol
000336	ZetesTechnol
000337	Vaone
000338	OakTechnolog
000339	Eurologic
00033a	SiliconWave
00033b	TAMITech
00033c	Daiden
00033d	ILSHinLab
00033e	TateyamaSyst
00033f	BigBandNetwo
000340	FlowareWirel
000341	EVSBroadcast
000342	NortelNetwor
000343	MartinProfes
000344	Tietech
000345	RoutrekNetwo
000346	KOKUSAIDENKI
000347	Intel
000348	NorscanInstr
000349	VidicodeData
00034a	RIAS
00034b	NortelNetwor
00034c	DigiVisionTe
00034d	ChiaroNetwor
00034e	PosData
00034f	SurGardSecur
000350	Bticino
000351	DieboldNixdo
000352	ColubrisNetw
000353	Mitac
000354	FiberLogicCo
000355	TeraBeamInte
000356	DieboldNixdo
000357	IntervoiceBr
000358	HanyangDigit
000359	DigitalSis
00035a	Photron
00035b	BridgeWaveCo
00035c	SaintSong
00035d	BosungHiNet
00035e	Metropolitan
00035f	PrüftechnikC
000360	PACInteracti
000361	Widcomm
000362	VodtelCommun
000363	Miraesys
000364	ScenixSemico
000365	KiraInformat
000366	ASMPacificTe
000367	JasmineNetwo
000368	Embedone
000369	NipponAntenn
00036a	Mainnet
00036b	Cisco
00036c	Cisco
00036d	Runtop
00036e	Nicon
00036f	Telsey
000370	NXTV
000371	AcomzNetwork
000372	Ulan
000373	Aselsan
000374	SchneiderEle
000375	NetMedia
000376	GraphtecTech
000377	GigabitWirel
000378	HUMAX
000379	ProscendComm
00037a	TaiyoYuden
00037b	IDECIZUMI
00037c	CoaxMedia
00037d	Stellcom
00037e	PORTechCommu
00037f	AtherosCommu
000380	SSHCommunica
000381	IngenicoInte
000382	AOne
000383	MeteraNetwor
000384	Aeta
000385	ActelisNetwo
000386	HoNet
000387	BlazeNetwork
000388	FastfameTech
000389	Plantronics
00038a	AmericaOnlin
00038b	PLUSONEI&T
00038c	TotalImpact
00038d	PCSRevenueCo
00038e	Atoga
00038f	Weinschel
000390	DigitalVideo
000391	AdvancedDigi
000392	HyundaiTelet
000393	Apple
000394	ConnectOne
000395	CaliforniaAm
000396	EZCast
000397	FireBrick
000398	Wisi
000399	DongjuInform
00039a	SiConnect
00039b	NetChipTechn
00039c	OptiMightCom
00039d	Qisda
00039e	TeraSystem
00039f	Cisco
0003a0	Cisco
0003a1	HIPERInforma
0003a2	CatapultComm
0003a3	MAVIX
0003a4	Imation
0003a5	Medea
0003a6	TraxitTechno
0003a7	UnixtarTechn
0003a8	IDOTComputer
0003a9	AXCENTMedia
0003aa	Watlow
0003ab	BridgeInform
0003ac	FroniusSchwe
0003ad	EmersonEnerg
0003ae	AlliedAdvanc
0003af	ParageaCommu
0003b0	XsenseTechno
0003b1	ICUMedical
0003b2	Radware
0003b3	IALink
0003b4	MacrotekInte
0003b5	EntraTechnol
0003b6	QSI
0003b7	ZACCESS
0003b8	NetKitSoluti
0003b9	HualongTelec
0003ba	Oracle
0003bb	SignalCommun
0003bc	COT
0003bd	OmniClusterT
0003be	Netility
0003bf	CenterpointB
0003c0	RFTNC
0003c1	PacketDynami
0003c2	Solphone
0003c3	MicronikMult
0003c4	TomraASA
0003c5	Mobotix
0003c6	ICUE
0003c7	hopfElektron
0003c8	CMLEmergency
0003c9	TECOM
0003ca	Temposonics
0003cb	SystemGear
0003cc	MomentumComp
0003cd	Clovertech
0003ce	ETENTechnolo
0003cf	Muxcom
0003d0	KOANKEISO
0003d1	Takaya
0003d2	Crossbeam
0003d3	InternetEner
0003d4	Alloptic
0003d5	AdvancedComm
0003d6	RADVision
0003d7	NextNetWirel
0003d8	iMPathNetwor
0003d9	Secheron
0003da	TakamisawaCy
0003db	ApogeeElectr
0003dc	LexarMedia
0003dd	ComarkIntera
0003de	OTCWireless
0003df	Desana
0003e0	Commscope
0003e1	WinmateCommu
0003e2	Comspace
0003e3	Cisco
0003e4	Cisco
0003e5	HermstedtSG
0003e6	Entone
0003e7	Logostek
0003e8	Wavesight
0003e9	AkaraCanada
0003ea	MegaSystemTe
0003eb	Atrica
0003ec	ICGResearch
0003ed	ShinkawaElec
0003ee	MKNet
0003ef	Oneline
0003f0	RedfernBroad
0003f1	CicadaSemico
0003f2	SenecaNetwor
0003f3	DazzleMultim
0003f4	NetBurner
0003f5	Chip2Chip
0003f6	AllegroNetwo
0003f7	PlastControl
0003f8	SanCastleTec
0003f9	PleiadesComm
0003fa	TiMetraNetwo
0003fb	ENEGATE
0003fc	IntertexData
0003fd	Cisco
0003fe	Cisco
0003ff	Microsoft
000400	LexmarkInter
000401	OsakiElectri
000402	NexsanTechno
000403	Nexsi
000404	MakinoMillin
000405	ACNTechnolog
000406	FaMetabox
000407	TopconPositi
000408	SankoElectro
000409	CratosNetwor
00040a	Sage
00040b	3ComEurope
00040c	KannoWorks
00040d	Avaya
00040e	AVM
00040f	AsusNetworkT
000410	SpinnakerNet
000411	InkraNetwork
000412	WaveSmithNet
000413	snomtechnolo
000414	UmezawaMusen
000415	Rasteme
000416	ParksComunic
000417	SchneiderEle
000418	TeltronicU
000419	FibercycleNe
00041a	InesTestandM
00041b	Bridgeworks
00041c	ipDialog
00041d	CoregaAmeric
00041e	ShikokuInstr
00041f	SonyInteract
000420	SlimDevices
000421	OcularNetwor
000422	StudioTechno
000423	Intel
000424	TMC
000425	Atmel
000426	Autosys
000427	Cisco
000428	Cisco
000429	Pixord
00042a	WirelessNetw
00042b	ITAccess
00042c	Minet
00042d	Sarian
00042e	NetousTechno
00042f	Internationa
000430	Netgem
000431	GlobalStream
000432	VoyetraTurtl
000433	Cyberboard
000434	Accelent
000435	InfiNet
000436	ELANsatTechn
000437	PowinInforma
000438	NortelNetwor
000439	RoscoEnterta
00043a	IntelligentT
00043b	LavaComputer
00043c	SONOS
00043d	Indel
00043e	Telencomm
00043f	ESTeemWirele
000440	cyberPIXIE
000441	HalfDome
000442	Nact
000443	AgilentTechn
000444	WesternMulti
000445	LMSSkalarIns
000446	CYZENTECH
000447	Acrowave
000448	Polaroid
000449	MapletreeNet
00044a	iPolicyNetwo
00044b	Nvidia
00044c	Jenoptik
00044d	Cisco
00044e	Cisco
00044f	SchubertSyst
000450	DMDComputers
000451	Medrad
000452	RocketLogix
000453	YottaYotta
000454	QuadrigaUK
000455	ANTARAnet
000456	CambiumNetwo
000457	UniversalAcc
000458	FusionX
000459	Veristar
00045a	LinksysGroup
00045b	TechsanElect
00045c	MobiwavePte
00045d	BEKAElektron
00045e	PolyTraxInfo
00045f	AvalueTechno
000460	KnilinkTechn
000461	EPOXComputer
000462	DAKOSDataCom
000463	BoschSecurit
000464	PulseLink
000465	istisdnsuppo
000466	ARMITEL
000467	ResearchInst
000468	Vivity
000469	Innocom
00046a	NaviniNetwor
00046b	PalmWireless
00046c	CyberTechnol
00046d	Cisco
00046e	Cisco
00046f	DigitelIndus
000470	ipUnplugged
000471	IPrad
000472	Telelynx
000473	Photonex
000474	Legrand
000475	3Com
000476	3Com
000477	Scalant
000478	GStarTechnol
000479	Radius
00047a	AxxessitAsa
00047b	Schlumberger
00047c	Skidata
00047d	MotorolaSolu
00047e	TKHSecurity
00047f	ChrMayr
000480	BrocadeCommu
000481	EconoliteCon
000482	Medialogic
000483	DeltronTechn
000484	Amann
000485	PicoLight
000486	ITTCUniversi
000487	CogencySemic
000488	EurothermCon
000489	YAFONetworks
00048a	TemiaVertrie
00048b	Poscon
00048c	NaynaNetwork
00048d	TeoTechnolog
00048e	OhmTechLabs
00048f	TD
000490	OpticalAcces
000491	Technovision
000492	HiveInternet
000493	TsinghuaUnis
000494	Breezecom
000495	TejasNetwork
000496	ExtremeNetwo
000497	MacroSystemD
000498	MahiNetworks
000499	Chino
00049a	Cisco
00049b	Cisco
00049c	SurgientNetw
00049d	IpanemaTechn
00049e	Wirelink
00049f	FreescaleSem
0004a0	VerityInstru
0004a1	PathwayConne
0004a2	LSIJapan
0004a3	MicrochipTec
0004a4	NetEnabled
0004a5	Barco
0004a6	SAFTehnika
0004a7	FabiaTech
0004a8	BroadmaxTech
0004a9	SandStreamTe
0004aa	JetstreamCom
0004ab	Mavenir
0004ac	IBM
0004ad	MalibuNetwor
0004ae	Sullair
0004af	DigitalFount
0004b0	ELESIGN
0004b1	SignalTechno
0004b2	Essegi
0004b3	Videotek
0004b4	Ciac
0004b5	Equitrac
0004b6	StratexNetwo
0004b7	AMBit
0004b8	Kumahira
0004b9	SISoubou
0004ba	KDDMediaWill
0004bb	Bardac
0004bc	Giantec
0004bd	Commscope
0004be	OptXCon
0004bf	VersaLogic
0004c0	Cisco
0004c1	Cisco
0004c2	Magnipix
0004c3	CASTORInform
0004c4	AudiotonixGr
0004c5	ASETechnolog
0004c6	YamahaMotor
0004c7	NetMount
0004c8	LIBAMaschine
0004c9	MicroElectro
0004ca	FreeMs
0004cb	TdsoftCommun
0004cc	PeekTraffic
0004cd	ExtenwaySolu
0004ce	PatriaAilon
0004cf	SeagateTechn
0004d0	Softlinksro
0004d1	DrewTechnolo
0004d2	AdconTelemet
0004d3	Toyokeiki
0004d4	ProviewElect
0004d5	HitachiInfor
0004d6	TakagiIndust
0004d7	OmitecInstru
0004d8	IPWireless
0004d9	TitanElectro
0004da	RelaxTechnol
0004db	TellusGroup
0004dc	NortelNetwor
0004dd	Cisco
0004de	Cisco
0004df	TeracomTelem
0004e0	ProcketNetwo
0004e1	InfiniorMicr
0004e2	SMCNetworks
0004e3	AcctonTechno
0004e4	DaeryungInd
0004e5	Glonet
0004e6	BanyanNetwor
0004e7	LightpointeC
0004e8	IER
0004e9	Infiniswitch
0004ea	HewlettPacka
0004eb	PaxonetCommu
0004ec	Memobox
0004ed	BillionElect
0004ee	LincolnElect
0004ef	Polestar
0004f0	Internationa
0004f1	WhereNet
0004f2	Polycom
0004f3	FSFORTHSYSTE
0004f4	InfiniteElec
0004f5	SnowShoreNet
0004f6	Amphus
0004f7	OmegaBand
0004f8	QUALICABLETV
0004f9	XteraCommuni
0004fa	NBSTechnolog
